"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT5G64120",1784.14065466924,-3.70871014006426,0.246015055590573,-15.075134857748,2.36033449985294e-51,2.94074075336678e-47
"AT2G19190",354.894297100683,-4.50211854389892,0.327844561252418,-13.7324789732675,6.48751966305432e-43,4.04140037409969e-39
"AT4G12490",2532.5605633075,-3.83225748209019,0.289453541179763,-13.239628945186,5.18041308118704e-40,2.15142555261698e-36
"AT4G12500",2997.59546509607,-4.36189736961762,0.331760485648753,-13.1477302400495,1.75359740633646e-39,5.4620175213865e-36
"AT2G43620",2087.95227499298,-3.15326242596476,0.250543287771132,-12.5856990782576,2.5309221069416e-36,6.30655170607709e-33
"AT3G46280",586.430551515215,-4.86409766137423,0.396236843164746,-12.2757329240882,1.22279434160503e-34,2.53913245034285e-31
"AT1G51800",448.545564786024,-3.94080009763336,0.331858268716195,-11.8749492452862,1.59730976727723e-32,2.84298319864386e-29
"AT2G39530",223.262350165516,-4.31459288720478,0.388219114886732,-11.1138084698988,1.07475761555227e-28,1.67380064152071e-25
"AT2G39200",1095.58202464292,-3.91381456333087,0.352919667473827,-11.089817100151,1.40574887234213e-28,1.94602502227895e-25
"AT1G51820",176.638382452173,-4.34818167541296,0.400095854154882,-10.8678498671214,1.64020689377793e-27,2.04353376895792e-24
"AT3G45060",299.750494388999,-3.13611914141714,0.313013874106957,-10.0191058634849,1.2563435817464e-23,1.42298042590713e-20
"AT2G39380",115.195762347453,-4.9246793093718,0.500593245753995,-9.83768628750522,7.74719630412969e-23,8.04352656276265e-20
"AT2G17740",234.215061376085,-4.12235062214014,0.426394222273818,-9.66793264729767,4.12629011271093e-22,3.95457296263581e-19
"AT5G48430",228.596375486297,-6.2282178926216,0.672374247388436,-9.26302266455411,1.98725172739968e-20,1.76851209083376e-17
"AT4G20860",661.279294142786,-3.44868102000737,0.37387688065592,-9.22410878671369,2.85928686310195e-20,2.37492366849248e-17
"AT3G22060",796.284300443478,-2.77210273532901,0.301274929931437,-9.20123933299021,3.53844773794769e-20,2.75534502294314e-17
"AT5G37600",1948.10496111459,-2.33522511827076,0.25677556662868,-9.09442104998918,9.5091732733182e-20,6.96910528307479e-17
"AT2G45180",4537.81329834368,1.89010658506124,0.208699499531021,9.05659375948956,1.34587749044196e-19,9.31571536300911e-17
"AT2G44370",77.1254904431732,-5.43822451726851,0.605244120268837,-8.98517529563602,2.5832217934145e-19,1.69391370127112e-16
"AT2G45220",454.694564001294,-3.47821568373473,0.388180100033344,-8.96031425473886,3.23754386256041e-19,2.01682794918201e-16
"AT3G21230",205.695485146415,-3.05368657573831,0.341686660162073,-8.93709626910761,3.99530276221711e-19,2.37035605306967e-16
"AT4G01700",404.481612847179,-3.10317877451302,0.358529316788149,-8.65529994119464,4.91617096816569e-18,2.78411700419892e-15
"AT1G51850",89.3896592076596,-5.2885931508226,0.618439264361778,-8.55151581664266,1.21482424524821e-17,6.5806501180641e-15
"AT2G35930",186.543772964878,-3.07995834350332,0.364338525939428,-8.45356206995076,2.82547622054915e-17,1.46677534299258e-14
"AT1G51890",135.38429275071,-2.98650987255674,0.356984293191946,-8.36594194622152,5.96365564582345e-17,2.97204742765257e-14
"AT1G30720",248.842260835112,-3.68285210487057,0.444139972197977,-8.29209784168881,1.11268342526431e-16,5.33189338283387e-14
"AT3G55150",62.8752195492458,-5.82277347950583,0.713510083114847,-8.16074449023391,3.32965853324092e-16,1.53645243206106e-13
"AT5G39580",206.312368730059,-3.38578857519298,0.415928080374813,-8.14032217334758,3.94227457790522e-16,1.75417139164718e-13
"AT1G02930",2936.66554381234,-2.22597992229808,0.273638303029333,-8.13475269235048,4.12780123270441e-16,1.77338881235394e-13
"AT1G65845",1198.03843720321,-3.5151826770348,0.435026622469315,-8.08038518903002,6.45625163672737e-16,2.68128130473288e-13
"AT1G02920",1160.1337418333,-3.07595693749852,0.382111680016385,-8.04988985776781,8.28685785586358e-16,3.33051490407111e-13
"AT5G13220",1642.93269484333,-3.87960793982755,0.483298097119977,-8.02736026263404,9.95923042996593e-16,3.87756412271705e-13
"AT4G12480",1805.87943812407,-2.31591537582997,0.297831293270167,-7.775930293964,7.4894941722643e-15,2.82762448158306e-12
"AT2G30750",103.717170160922,-4.62071797060432,0.601949194899785,-7.67625907594011,1.63801683959137e-14,6.00236817778497e-12
"AT1G76930",32682.1491273446,-2.37548879515969,0.314278111553036,-7.55855628449903,4.07567647776189e-14,1.45082437818387e-11
"AT1G30730",118.924487428703,-3.39528547494421,0.454027932375865,-7.47814227458903,7.53805664610581e-14,2.60879577093978e-11
"AT5G44380",162.25821509336,-3.42570204057985,0.463275160148667,-7.39452993655115,1.41909382724528e-13,4.7785108090943e-11
"AT5G44390",83.5628367270917,-3.1991378785895,0.437569345630929,-7.31115630135534,2.64853230617389e-13,8.68370105332118e-11
"AT4G36670",593.443636757695,-2.7756490820454,0.382815398049278,-7.25062026289786,4.14867320804047e-13,1.32534152561477e-10
"AT3G16530",286.676529875591,-1.93563349489048,0.268133481701325,-7.21891754289227,5.24030164699003e-13,1.63222295549622e-10
"AT1G17380",161.730936414999,-2.616844154011,0.363499239192824,-7.19903612404222,6.06396856375351e-13,1.84270693501963e-10
"AT1G65500",142.528472659045,-3.42585392099059,0.477160774684448,-7.1796637585228,6.98830730659003e-13,2.07303144601917e-10
"AT5G44575",315.474240646549,-2.38604540801414,0.336475873506351,-7.09128230547294,1.32874972406765e-12,3.84997507259508e-10
"AT3G44860",1232.51433244027,-2.41182055202264,0.340297724910877,-7.08738370982141,1.36671060235038e-12,3.8699653169735e-10
"AT1G29660",91.4189518822853,2.66960658953651,0.38528070020792,6.92899122145448,4.23852101997225e-12,1.17350518639632e-09
"AT5G19230",695.172017390858,-2.70755284166862,0.396849138440284,-6.82262497106578,8.93918049910763e-12,2.42115760518222e-09
"AT3G52450",91.746896901099,-3.09948226189784,0.455208407494216,-6.80893017543227,9.8327184929798e-12,2.60650722774543e-09
"AT1G53625",348.74690534913,-2.68374162848601,0.394511972347442,-6.80268741279788,1.02685298559649e-11,2.6653252807389e-09
"AT2G35980",241.541969360194,-2.6382595569453,0.388125951864692,-6.79743146334374,1.06500784887564e-11,2.70794546717175e-09
"AT3G13790",960.133544918455,-1.93303163372555,0.288244824761888,-6.7062145359327,1.99738009583545e-11,4.97707172280276e-09
"AT5G50200",657.671034634117,-2.37153789996606,0.356038421853104,-6.66090442605243,2.7214758384903e-11,6.64840538661778e-09
"AT1G14870",116.701541125851,-2.55697422027323,0.384396275847975,-6.65192245849044,2.89289113561466e-11,6.93125589588905e-09
"AT1G30700",219.822706388301,-3.86149420422234,0.580805946300877,-6.64851010706071,2.96074653494688e-11,6.93866521600361e-09
"AT4G22470",11813.3961295211,-2.38071935905067,0.358207079347768,-6.64620968235897,3.00736753884096e-11,6.93866521600361e-09
"AT1G52200",419.349647949589,-2.30422109356939,0.347750467800563,-6.62607618659159,3.44727299204983e-11,7.80901349235434e-09
"AT2G23320",148.50752189672,-2.17479120473257,0.328455955574386,-6.62125672505894,3.56157792296124e-11,7.92387488253109e-09
"AT1G09750",187.877410494539,2.35341011867144,0.360677680511784,6.5249674316749,6.80163117016031e-11,1.48669338156188e-08
"AT5G36925",153.136138283258,-2.85740225633283,0.440953198780387,-6.48005789330023,9.16874309352769e-11,1.94204219815532e-08
"AT5G40780",491.910821056996,-1.79010624443218,0.276268013163523,-6.47960009533431,9.19660403653293e-11,1.94204219815532e-08
"AT1G69140",747.727230144697,2.70619693834184,0.418620569727359,6.46455796499525,1.01595348675707e-10,2.07504335926333e-08
"AT2G30490",419.731054671167,-1.778330336795,0.275026285646418,-6.46603771932286,1.00605975614557e-10,2.07504335926333e-08
"AT3G62550",595.704433817339,1.75693950562957,0.272562872604474,6.4459971706386,1.14842804105443e-10,2.3077846715318e-08
"AT1G65390",87.2236510812473,-3.29074277581689,0.51352405921397,-6.40815696318862,1.47289232531341e-10,2.91281991763171e-08
"AT4G21120",151.806626116758,-2.12748248824186,0.332668020973934,-6.3952119052903,1.60324856520649e-10,3.12107404279807e-08
"AT4G23550",87.8957563754117,-3.43686787660947,0.541324874312205,-6.34899307181529,2.16728793015654e-10,4.15419081874158e-08
"AT3G14210",736.230953587106,2.41159740564639,0.381107278475061,6.32787023983379,2.4856802607528e-10,4.6922864195029e-08
"AT1G56140",99.4349702528092,-2.25718144497483,0.360522636370417,-6.26085914520966,3.82862230647593e-10,7.11952318154979e-08
"AT1G61560",55.0080488351943,-2.96981483962891,0.477592985952688,-6.21829659768727,5.02580890611754e-10,9.20831664137035e-08
"AT1G64170",104.746279051836,-3.35291926182249,0.540215116765478,-6.20663724091616,5.41303506525169e-10,9.77405853303925e-08
"AT1G20010",276.562402013216,1.72103602786012,0.277540125287955,6.20103498935335,5.60930401474055e-10,9.98375981709322e-08
"AT3G27690",838.10336379969,2.15043330466658,0.348164625360855,6.17648419174626,6.55447690267936e-10,1.15017222155609e-07
"AT4G35100",172.898095618383,2.07625582169035,0.336522109587596,6.16974564980226,6.83999329492338e-10,1.18360383974237e-07
"AT1G02360",80.5447818757484,-3.14362645799845,0.509730250875873,-6.16723542029679,6.94942555734466e-10,1.18606702765695e-07
"AT2G37040",471.568932899411,-2.13956247401225,0.347809482656513,-6.15153577087841,7.67362137363504e-10,1.2919682255962e-07
"AT1G05300",150.438541626639,-2.81470468280031,0.457798578269176,-6.14834736587,7.82944196988163e-10,1.30062690003674e-07
"AT1G30755",130.14326820523,-2.24833117226821,0.367104687088448,-6.12449595808758,9.09711230479067e-10,1.49132792375509e-07
"AT2G39210",257.062939878695,-2.14693506278942,0.352268150063807,-6.09460452896619,1.09708327096916e-09,1.77513772376685e-07
"AT2G27660",286.25540183624,-2.61782094083061,0.43042043814115,-6.08200891234662,1.18685969436328e-09,1.87178290279394e-07
"AT4G30190",1554.56572664785,-2.36705496137756,0.389146342972565,-6.08268586901367,1.1818576221676e-09,1.87178290279394e-07
"AT2G10940",2272.07124175558,2.63497670852663,0.434355132158846,6.06641090075345,1.30800234668506e-09,2.03705015466865e-07
"AT1G17860",82.9134503783041,-2.468853829088,0.407137146851768,-6.06393655842674,1.32829567266241e-09,2.04311552909889e-07
"AT1G53310",380.794871866259,-1.46116723137079,0.242224322055443,-6.03228948675245,1.61652855960119e-09,2.45613772244771e-07
"AT1G64400",129.70477675243,-2.23775347151963,0.371412458598111,-6.02498225279245,1.691281810651e-09,2.53875663601215e-07
"AT4G12470",1911.70435099741,-2.2309680531834,0.373329756836455,-5.9758645335114,2.28873133225126e-09,3.39467900815695e-07
"AT3G14050",231.36952352026,-1.94874575889348,0.327335643775648,-5.95335642771957,2.62698315078997e-09,3.85053918537556e-07
"AT5G06570",182.702090058596,-2.43482203855997,0.40933075131574,-5.94829983023154,2.7094195650492e-09,3.92519283266838e-07
"AT4G01250",92.0810448343148,-3.31185454760144,0.55778405084054,-5.93752105785512,2.89363888710589e-09,4.1438904476382e-07
"AT3G51440",231.722849663716,-1.70809240033746,0.288023721524651,-5.93038792532676,3.02219809280451e-09,4.27881432252857e-07
"AT5G55930",282.918814494078,-2.40888346522659,0.407121977781343,-5.9168593116836,3.28147147048302e-09,4.59369135401663e-07
